Sale_ID,Sale_Date,Region,State,Product_Category,Product_Subcategory,Product_Name,Quantity,Unit_Price,Total_Sales,Discount_Percentage,Profit,Season,Festival,Payment_Mode
130,2024-05-13,West,Maharashtra,Electronics,Laptops,Premium Laptops,3,67453,192241.05,5,28201.46,Summer,None,Net Banking
131,2024-09-05,North,Haryana,Home Appliances,Refrigerators,Standard Refrigerators,1,9039,9039,0,2011.53,Festive,Diwali,Net Banking
132,2024-02-22,West,Rajasthan,Electronics,Laptops,Basic Laptops,2,31751,63502,0,10470.94,Winter,None,Credit Card
133,2024-05-01,South,Kerala,Home Appliances,Refrigerators,Standard Refrigerators,4,36176,137468.8,5,13020.31,Summer,None,Credit Card
134,2024-03-18,East,Assam,Furniture,Chair,Premium Chair,5,7885,35482.5,10,6610.47,Summer,None,Debit Card
135,2024-03-29,East,Assam,Electronics,Earphones,Basic Earphones,5,36145,180725,0,38899.99,Summer,None,Cash
136,2024-05-02,South,Tamil Nadu,Groceries,Spices,Premium Spices,2,729,1312.2,10,143.17,Summer,None,Debit Card
137,2024-10-18,West,Rajasthan,Home Appliances,Washing Machines,Standard Washing Machines,2,16865,33730,0,3319.25,Festive,Diwali,Net Banking
138,2024-07-14,Central,Chhattisgarh,Groceries,Beverages,Standard Beverages,2,963,1926,0,424.3,Monsoon,None,Credit Card
139,2024-02-08,East,Assam,Groceries,Spices,Basic Spices,3,965,2895,0,373.86,Winter,None,Credit Card
140,2024-03-06,West,Maharashtra,Clothing,Men's Wear,Basic Men's Wear,4,1099,4396,0,747.36,Summer,None,Debit Card
141,2024-04-08,North,Delhi,Clothing,Kids Wear,Premium Kids Wear,4,1950,7410,5,654.27,Summer,None,Debit Card
142,2024-06-28,South,Karnataka,Furniture,Bed,Premium Bed,4,34873,139492,0,18105.76,Monsoon,None,UPI
143,2024-08-14,East,West Bengal,Electronics,Mobile Phones,Basic Mobile Phones,4,36196,144784,0,15982.18,Monsoon,None,Net Banking
144,2024-10-05,West,Maharashtra,Electronics,Laptops,Standard Laptops,1,31173,29614.35,5,2318.8,Festive,Ganesh Chaturthi,Credit Card
145,2024-09-15,North,Uttar Pradesh,Electronics,Mobile Phones,Basic Mobile Phones,5,60377,256602.25,15,21694.87,Festive,Holi,Cash
146,2024-11-18,Central,Chhattisgarh,Clothing,Men's Wear,Premium Men's Wear,3,1237,3711,0,653.42,Festive,Diwali,Credit Card
147,2024-07-02,North,Delhi,Furniture,Bed,Standard Bed,5,27737,138685,0,16941.09,Monsoon,None,Debit Card
148,2024-08-06,North,Delhi,Electronics,Smart TVs,Premium Smart TVs,4,33793,128413.4,5,21212.64,Monsoon,None,Debit Card
149,2024-11-08,Central,Chhattisgarh,Home Appliances,Washing Machines,Standard Washing Machines,3,21180,63540,0,8107.84,Festive,Diwali,Debit Card
150,2024-02-29,East,West Bengal,Groceries,Beverages,Premium Beverages,4,447,1609.2,10,376.78,Winter,None,UPI
151,2024-04-26,East,Assam,Furniture,Dining Table,Basic Dining Table,4,27413,104169.4,5,7381.93,Summer,None,Credit Card
152,2024-09-21,North,Uttar Pradesh,Groceries,Beverages,Basic Beverages,2,626,1126.8,10,142.65,Festive,Holi,UPI
153,2024-12-31,West,Maharashtra,Furniture,Sofa,Premium Sofa,5,49091,220909.5,10,50411.97,Winter,None,Cash
154,2024-08-17,East,Assam,Groceries,Cereals,Premium Cereals,5,141,599.25,15,109.39,Monsoon,None,UPI
155,2024-04-08,South,Kerala,Furniture,Sofa,Standard Sofa,3,19859,59577,0,8598,Summer,None,Net Banking
156,2024-12-16,West,Maharashtra,Home Appliances,Washing Machines,Basic Washing Machines,4,17354,65945.2,5,8494,Winter,None,UPI
157,2024-07-31,South,Tamil Nadu,Home Appliances,Refrigerators,Basic Refrigerators,1,4992,4992,0,1065.83,Monsoon,None,Credit Card
158,2024-07-26,East,Assam,Home Appliances,Washing Machines,Basic Washing Machines,1,28142,23920.7,15,5742.5,Monsoon,None,Debit Card
159,2024-10-13,Central,Chhattisgarh,Groceries,Cereals,Basic Cereals,4,468,1684.8,10,165.38,Festive,Navratri,Debit Card
160,2024-08-18,West,Maharashtra,Clothing,Women's Wear,Basic Women's Wear,4,1655,6289,5,1324.89,Monsoon,None,Net Banking
161,2024-04-10,North,Delhi,Groceries,Beverages,Standard Beverages,2,186,334.8,10,70.23,Summer,None,Credit Card
162,2024-10-21,North,Haryana,Electronics,Mobile Phones,Basic Mobile Phones,2,25344,45619.2,10,6881.45,Festive,Holi,Cash
163,2024-10-01,East,West Bengal,Groceries,Spices,Premium Spices,5,319,1515.25,5,248.28,Festive,Diwali,UPI
164,2024-09-21,East,West Bengal,Clothing,Kids Wear,Standard Kids Wear,1,2044,2044,0,493.67,Festive,Durga Puja,Credit Card
165,2024-12-05,Central,Madhya Pradesh,Home Appliances,Microwave Ovens,Basic Microwave Ovens,1,14265,14265,0,2663.71,Winter,None,Cash
166,2024-06-20,South,Kerala,Furniture,Sofa,Basic Sofa,3,40035,120105,0,16617.02,Monsoon,None,Debit Card
167,2024-05-06,West,Rajasthan,Clothing,Kids Wear,Basic Kids Wear,3,1854,5562,0,281.34,Summer,None,Debit Card
168,2024-09-21,North,Haryana,Home Appliances,Washing Machines,Basic Washing Machines,1,8023,7220.7,10,1764.58,Festive,Diwali,UPI
169,2024-04-05,West,Maharashtra,Clothing,Women's Wear,Standard Women's Wear,2,2819,5074.2,10,999.72,Summer,None,Debit Card
170,2024-03-24,North,Uttar Pradesh,Clothing,Kids Wear,Basic Kids Wear,4,677,2437.2,10,479.71,Summer,None,UPI
171,2024-06-15,Central,Madhya Pradesh,Electronics,Laptops,Standard Laptops,3,31787,95361,0,23138.55,Monsoon,None,Debit Card
172,2024-11-30,Central,Madhya Pradesh,Home Appliances,Washing Machines,Basic Washing Machines,1,4237,3813.3,10,893.15,Festive,Diwali,Net Banking
173,2024-12-01,West,Maharashtra,Furniture,Sofa,Standard Sofa,4,25371,86261.4,15,15522.32,Winter,None,Net Banking
174,2024-01-15,East,Assam,Groceries,Cereals,Basic Cereals,4,903,3431.4,5,787.6,Winter,None,Debit Card
175,2024-01-15,Central,Madhya Pradesh,Electronics,Earphones,Basic Earphones,3,57499,172497,0,9052.26,Winter,None,UPI
176,2024-05-24,Central,Chhattisgarh,Clothing,Women's Wear,Premium Women's Wear,5,1921,9605,0,1728.96,Summer,None,Debit Card
177,2024-08-11,Central,Madhya Pradesh,Groceries,Spices,Premium Spices,3,763,2060.1,10,509.42,Monsoon,None,Credit Card
178,2024-04-28,West,Gujarat,Home Appliances,Washing Machines,Premium Washing Machines,3,11207,33621,0,7213.89,Summer,None,Cash
179,2024-04-21,South,Tamil Nadu,Furniture,Bed,Basic Bed,1,46559,46559,0,6588.03,Summer,None,Debit Card
180,2024-07-31,South,Karnataka,Home Appliances,Microwave Ovens,Premium Microwave Ovens,1,26554,26554,0,1662.18,Monsoon,None,Net Banking
181,2024-08-12,Central,Chhattisgarh,Home Appliances,Refrigerators,Premium Refrigerators,1,26812,26812,0,4557.03,Monsoon,None,Cash
182,2024-10-15,East,West Bengal,Clothing,Women's Wear,Basic Women's Wear,3,2147,5152.8,20,874.64,Festive,Durga Puja,UPI
183,2024-11-03,West,Maharashtra,Furniture,Bed,Standard Bed,3,22692,64672.2,5,11649.31,Festive,Diwali,Credit Card
184,2024-11-29,South,Telangana,Electronics,Mobile Phones,Basic Mobile Phones,2,52491,99732.9,5,18670.43,Festive,Pongal,Cash
185,2024-07-13,South,Kerala,Electronics,Laptops,Standard Laptops,1,29428,29428,0,4466.49,Monsoon,None,Cash
186,2024-06-28,West,Rajasthan,Home Appliances,Microwave Ovens,Standard Microwave Ovens,3,24820,74460,0,15659.41,Monsoon,None,Cash
187,2024-02-07,East,Odisha,Home Appliances,Microwave Ovens,Basic Microwave Ovens,1,5113,5113,0,910.48,Winter,None,Debit Card
188,2024-09-10,West,Rajasthan,Electronics,Laptops,Basic Laptops,3,47241,120464.55,15,25228.94,Festive,Diwali,Cash
189,2024-12-07,West,Maharashtra,Electronics,Smart TVs,Basic Smart TVs,2,61482,110667.6,10,19543.52,Winter,None,Cash
190,2024-10-24,South,Telangana,Electronics,Earphones,Basic Earphones,4,53727,171926.4,20,11977.26,Festive,Pongal,UPI
191,2024-08-17,West,Rajasthan,Clothing,Kids Wear,Premium Kids Wear,1,1138,967.3,15,151.4,Monsoon,None,Debit Card
192,2024-09-03,East,West Bengal,Clothing,Kids Wear,Basic Kids Wear,5,1964,9820,0,1406.9,Festive,Durga Puja,UPI
193,2024-12-23,Central,Chhattisgarh,Electronics,Smart TVs,Basic Smart TVs,5,44074,220370,0,13492.71,Winter,None,Debit Card
194,2024-07-11,North,Punjab,Clothing,Women's Wear,Standard Women's Wear,5,2592,11664,10,1231.72,Monsoon,None,Debit Card
195,2024-02-04,East,Assam,Groceries,Snacks,Premium Snacks,5,527,2635,0,583,Winter,None,Net Banking
196,2024-01-18,Central,Madhya Pradesh,Clothing,Men's Wear,Basic Men's Wear,3,1734,5202,0,1126.5,Winter,None,UPI
197,2024-02-27,South,Karnataka,Home Appliances,Microwave Ovens,Basic Microwave Ovens,5,39894,169549.5,15,29866.12,Winter,Pongal,Debit Card
198,2024-12-09,West,Gujarat,Clothing,Men's Wear,Premium Men's Wear,3,1676,5028,0,444.07,Winter,None,Debit Card
199,2024-05-14,Central,Chhattisgarh,Furniture,Dining Table,Standard Dining Table,5,42888,214440,0,49466.74,Summer,None,UPI
200,2024-02-01,West,Maharashtra,Furniture,Chair,Premium Chair,1,23767,23767,0,2418.85,Winter,None,Debit Card
201,2024-02-07,East,West Bengal,Groceries,Cereals,Standard Cereals,3,662,1688.1,15,245.18,Winter,None,UPI
202,2024-04-19,West,Rajasthan,Groceries,Spices,Premium Spices,3,319,957,0,168.86,Summer,None,Net Banking
203,2024-01-17,Central,Chhattisgarh,Home Appliances,Microwave Ovens,Premium Microwave Ovens,2,14114,28228,0,3246.92,Winter,None,UPI
204,2024-01-10,Central,Madhya Pradesh,Home Appliances,Microwave Ovens,Premium Microwave Ovens,3,12037,32499.9,10,4822.58,Winter,None,Net Banking
205,2024-01-11,Central,Madhya Pradesh,Furniture,Sofa,Premium Sofa,2,45077,72123.2,20,8243.63,Winter,None,Debit Card
206,2024-04-27,West,Gujarat,Groceries,Cereals,Premium Cereals,4,228,912,0,214.25,Summer,None,Net Banking
